FSA_CODE,name
39043,Erie (OH)
31039,Cuming (NE)
53069,Wahkiakum (WA)
35011,De Baca (NM)
31109,Lancaster (NE)
31129,Nuckolls (NE)
72025,Caguas (PR)
46099,Minnehaha (SD)
48327,Menard (TX)
06091,Sierra (CA)
21053,Clinton (KY)
39063,Hancock (OH)
48189,Hale (TX)
01027,Clay (AL)
48011,Armstrong (TX)
39003,Allen (OH)
13189,McDuffie (GA)
55111,Sauk (WI)
05137,Stone (AR)
41063,Wallowa (OR)
42007,Beaver (PA)
28061,Jasper (MS)
29083,Henry (MO)
08109,Saguache (CO)
37037,Chatham (NC)
49033,Rich (UT)
40001,Adair (OK)
39085,Lake (OH)
51161,"Roanoke, Roanoke City, Salem City (VA)"
51121,"Montgomery, Radford City (VA)"
47065,Hamilton (TN)
35035,Otero (NM)
35003,Catron (NM)
01091,Marengo (AL)
56023,Lincoln (WY)
29011,Barton (MO)
48057,Calhoun (TX)
51199,"York, Poquoson City (VA)"
54075,Pocahontas (WV)
48077,Clay (TX)
51095,"James City, Williamsburg City (VA)"
31101,Keith (NE)
31137,Phelps (NE)
22019,Calcasieu (LA)
22111,Union (LA)
40135,Sequoyah (OK)
01049,DeKalb (AL)
36101,Steuben (NY)
42053,Forest (PA)
22105,Tangipahoa (LA)
51179,Stafford (VA)
26109,Menominee (MI)
18073,Jasper (IN)
13025,Brantley (GA)
13171,Lamar (GA)
18151,Steuben (IN)
48361,Orange (TX)
39047,Fayette (OH)
25015,Hampshire (MA)
21003,Allen (KY)
37001,Alamance (NC)
20073,Greenwood (KS)
25025,Suffolk (MA)
16051,Jefferson (ID)
48177,Gonzales (TX)
47115,Marion (TN)
26007,Alpena (MI)
21231,Wayne (KY)
47185,White (TN)
48147,Fannin (TX)
20043,Doniphan (KS)
48265,Kerr (TX)
12053,Hernando (FL)
12129,Wakulla (FL)
12131,Walton (FL)
28017,Chickasaw (MS)
02005,Palmer (AK)
26035,Clare (MI)
20157,Republic (KS)
12127,Volusia (FL)
40017,Canadian (OK)
72013,Arecibo (PR)
52005,St. Thomas (VI)
13115,Floyd (GA)
32001,Churchill (NV)
31181,Webster (NE)
17067,Hancock (IL)
46067,Hutchinson (SD)
41013,Crook (OR)
50011,Franklin (VT)
26103,Marquette (MI)
09007,Middlesex (CT)
37057,Davidson (NC)
17025,Clay (IL)
29103,Knox (MO)
29117,Livingston (MO)
42117,Tioga (PA)
31043,Dakota (NE)
26089,Leelanau (MI)
51181,Surry (VA)
48391,Refugio (TX)
39017,Butler (OH)
13273,Terrell (GA)
13063,Clayton (GA)
56013,Fremont (WY)
18115,Ohio (IN)
13073,Columbia (GA)
08115,Sedgwick (CO)
30065,Musselshell (MT)
42043,Dauphin (PA)
46101,Moody (SD)
54079,Putnam (WV)
34037,Sussex (NJ)
20039,Decatur (KS)
18123,Perry (IN)
28145,Union (MS)
31015,Boyd (NE)
27095,Mille Lacs (MN)
38099,Walsh (ND)
39115,Morgan (OH)
39133,Portage (OH)
56041,Uinta (WY)
32013,Humboldt (NV)
48247,Jim Hogg (TX)
08017,Cheyenne (CO)
41005,Clackamas (OR)
05113,Polk (AR)
13193,Macon (GA)
18007,Benton (IN)
47129,Morgan (TN)
46043,Douglas (SD)
24047,Worcester (MD)
17185,Wabash (IL)
18069,Huntington (IN)
21209,Scott (KY)
19053,Decatur (IA)
18169,Wabash (IN)
18003,Allen (IN)
18099,Marshall (IN)
31171,Thomas (NE)
38085,Sioux (ND)
48127,Dimmit (TX)
27045,Fillmore (MN)
45023,Chester (SC)
27073,Lac qui Parle (MN)
49005,Cache (UT)
55093,Pierce (WI)
13049,Charlton (GA)
13233,Polk (GA)
17113,McLean (IL)
23001,Androscoggin (ME)
16055,"Kootenai, North Shoshone (ID)"
32003,Clark (NV)
20147,Phillips (KS)
31089,Holt (NE)
29101,Johnson (MO)
55063,La Crosse (WI)
22021,Caldwell (LA)
21061,Edmonson (KY)
17005,Bond (IL)
17009,Brown (IL)
27085,McLeod (MN)
55033,Dunn (WI)
08027,Custer (CO)
29123,Madison (MO)
48353,Nolan (TX)
42127,Wayne (PA)
36091,Saratoga (NY)
48041,Brazos (TX)
40095,Marshall (OK)
24001,Allegany (MD)
54103,Wetzel (WV)
55053,Jackson (WI)
41007,Clatsop (OR)
53041,Lewis (WA)
36003,Allegany (NY)
19031,Cedar (IA)
18117,Orange (IN)
13089,DeKalb (GA)
